Filepath,Label
/content/images/Bag Classes/Bag Classes/Plastic Bag Images/00002103.jpg,Plastic Bag Images
/content/images/Bag Classes/Bag Classes/Plastic Bag Images/00004216.jpg,Plastic Bag Images
/content/images/Bag Classes/Bag Classes/Plastic Bag Images/00002349.jpg,Plastic Bag Images
/content/images/Bag Classes/Bag Classes/Plastic Bag Images/00001607.jpg,Plastic Bag Images
/content/images/Bag Classes/Bag Classes/Plastic Bag Images/00001186.jpg,Plastic Bag Images
/content/images/Bag Classes/Bag Classes/Plastic Bag Images/00002374.jpg,Plastic Bag Images
/content/images/Bag Classes/Bag Classes/Plastic Bag Images/00003851.jpg,Plastic Bag Images
/content/images/Bag Classes/Bag Classes/Plastic Bag Images/00003353.jpg,Plastic Bag Images
/content/images/Bag Classes/Bag Classes/Plastic Bag Images/00003037.jpg,Plastic Bag Images
/content/images/Bag Classes/Bag Classes/Plastic Bag Images/00003117.jpg,Plastic Bag Images
/content/images/Bag Classes/Bag Classes/Plastic Bag Images/00000200.jpg,Plastic Bag Images
/content/images/Bag Classes/Bag Classes/Plastic Bag Images/00003572.jpg,Plastic Bag Images
/content/images/Bag Classes/Bag Classes/Plastic Bag Images/00001056.jpg,Plastic Bag Images
/content/images/Bag Classes/Bag Classes/Plastic Bag Images/00000665.jpg,Plastic Bag Images
/content/images/Bag Classes/Bag Classes/Plastic Bag Images/00004647.jpg,Plastic Bag Images
/content/images/Bag Classes/Bag Classes/Plastic Bag Images/00003999.jpg,Plastic Bag Images
/content/images/Bag Classes/Bag Classes/Plastic Bag Images/00002731.jpg,Plastic Bag Images
/content/images/Bag Classes/Bag Classes/Plastic Bag Images/00002564.jpg,Plastic Bag Images
/content/images/Bag Classes/Bag Classes/Plastic Bag Images/00001548.jpg,Plastic Bag Images
/content/images/Bag Classes/Bag Classes/Plastic Bag Images/00001262.jpg,Plastic Bag Images
/content/images/Bag Classes/Bag Classes/Plastic Bag Images/00000515.jpg,Plastic Bag Images
/content/images/Bag Classes/Bag Classes/Plastic Bag Images/00004700.jpg,Plastic Bag Images
/content/images/Bag Classes/Bag Classes/Plastic Bag Images/00004475.jpg,Plastic Bag Images
/content/images/Bag Classes/Bag Classes/Plastic Bag Images/00001008.jpg,Plastic Bag Images
/content/images/Bag Classes/Bag Classes/Plastic Bag Images/00002017.jpg,Plastic Bag Images
/content/images/Bag Classes/Bag Classes/Plastic Bag Images/00000625.jpg,Plastic Bag Images
/content/images/Bag Classes/Bag Classes/Plastic Bag Images/00004738.jpg,Plastic Bag Images
/content/images/Bag Classes/Bag Classes/Plastic Bag Images/00001277.jpg,Plastic Bag Images
/content/images/Bag Classes/Bag Classes/Plastic Bag Images/00003445.jpg,Plastic Bag Images
/content/images/Bag Classes/Bag Classes/Plastic Bag Images/00001413.jpg,Plastic Bag Images
/content/images/Bag Classes/Bag Classes/Plastic Bag Images/00002445.jpg,Plastic Bag Images
